state,account_length,area_code,international_plan,voice_mail_plan,number_vmail_messages,total_day_minutes,total_day_calls,total_day_charge,total_eve_minutes,total_eve_calls,total_eve_charge,total_night_minutes,total_night_calls,total_night_charge,total_intl_minutes,total_intl_calls,total_intl_charge,customer_service_calls,average_monthly_spend,customer_engagement_score,churn
New Mexico,21,415,no,yes,19,132.7,94,22.56,204.6,101,17.39,154.7,78,6.96,12.9,7,3.48,3,2.3995238095238096,135.41000000000003,False
Oregon,163,408,no,yes,25,219.6,99,37.33,210.4,99,17.88,242.7,88,10.92,13.8,8,3.73,2,0.4285889570552147,182.39000000000001,False
Vermont,57,415,no,no,0,169.6,96,28.83,234.7,112,19.95,285.4,83,12.84,11.2,4,3.02,0,1.1340350877192982,169.03,False
Rhode Island,104,408,yes,no,0,160.4,73,27.27,293.9,103,24.98,306.6,90,13.8,12.6,5,3.4,4,0.6677884615384616,184.31,False
Rhode Island,83,415,no,yes,20,95.0,89,16.15,167.9,92,14.27,200.6,79,9.03,11.2,2,3.02,0,0.5116867469879518,114.67,False
New Mexico,141,415,no,no,0,160.1,87,27.22,256.7,120,21.82,270.0,107,12.15,7.0,1,1.89,2,0.4473758865248227,168.85000000000002,False
Alabama,95,415,no,no,0,194.6,114,33.08,232.8,106,19.79,173.4,92,7.8,3.8,2,1.03,3,0.6494736842105263,164.88,False
Montana,184,415,no,no,0,236.4,73,40.19,287.3,120,24.42,192.0,94,8.64,13.8,4,3.73,1,0.4183695652173913,202.40999999999997,True
Connecticut,74,408,no,no,0,157.1,95,26.71,213.1,36,18.11,280.4,77,12.62,7.6,3,2.05,2,0.8039189189189189,155.73000000000002,False
Tennessee,67,415,no,no,0,179.8,125,30.57,173.2,86,14.72,272.8,97,12.28,10.9,4,2.94,0,0.903134328358209,153.34,False
Idaho,104,415,yes,no,0,148.2,108,25.19,161.8,113,13.75,259.3,103,11.67,11.0,4,2.97,0,0.5151923076923077,135.95,False
Texas,71,415,no,yes,39,183.2,103,31.14,209.4,111,17.8,172.4,109,7.76,11.9,6,3.21,1,0.8438028169014083,163.22,False
New Hampshire,149,415,no,no,0,119.2,88,20.26,168.3,110,14.31,204.7,119,9.21,12.2,6,3.29,4,0.31590604026845637,119.88000000000001,True
North Dakota,154,408,no,yes,35,224.0,102,38.08,192.0,99,16.32,163.1,100,7.34,9.6,2,2.59,0,0.4177272727272727,172.42999999999998,False
South Carolina,138,510,no,yes,21,19.5,149,3.32,140.9,109,11.98,179.7,111,8.09,7.9,1,2.13,0,0.18492753623188404,73.82000000000001,False
Kansas,117,415,no,no,0,184.8,83,31.42,248.6,101,21.13,133.1,113,5.99,9.6,8,2.59,1,0.5224786324786325,163.42999999999998,False
Maine,130,408,no,no,0,176.3,140,29.97,201.0,104,17.09,161.9,123,7.29,11.3,5,3.05,1,0.44153846153846155,148.96999999999997,False
Rhode Island,73,415,no,no,0,241.7,115,41.09,168.5,133,14.32,169.8,122,7.64,11.1,2,3.0,2,0.9047945205479454,165.83,False
Wisconsin,100,510,no,yes,38,224.7,121,38.2,294.0,131,24.99,290.0,61,13.05,9.8,6,2.65,0,0.7889,216.64,False
North Carolina,149,510,no,no,0,207.3,115,35.24,198.4,82,16.86,114.1,83,5.13,8.6,4,2.32,1,0.39966442953020137,155.26999999999998,False
Ohio,29,408,no,no,0,196.8,81,33.46,168.0,110,14.28,132.6,98,5.97,12.7,7,3.43,2,1.970344827586207,144.32,False
Wyoming,131,510,no,no,0,110.9,74,18.85,115.6,90,9.83,190.5,114,8.57,15.8,9,4.27,1,0.31694656488549616,100.95,False
New Jersey,153,510,no,no,0,122.5,145,20.83,273.3,103,23.23,197.8,71,8.9,8.0,3,2.16,2,0.36026143790849674,151.77,False
North Dakota,84,510,no,no,0,226.9,144,38.57,201.6,122,17.14,130.2,121,5.86,13.2,5,3.56,2,0.7753571428571429,166.3,False
Wisconsin,133,510,no,no,0,187.0,65,31.79,141.4,128,12.02,238.2,108,10.72,10.0,8,2.7,2,0.4303007518796993,142.44,False
Kentucky,112,415,no,no,0,170.5,113,28.99,193.2,129,16.42,188.0,91,8.46,11.2,6,3.02,0,0.5079464285714286,147.20000000000002,False
New York,87,415,no,no,0,204.8,101,34.82,161.0,80,13.69,285.7,89,12.86,9.5,3,2.57,0,0.7349425287356322,160.69000000000003,False
Missouri,72,415,no,no,0,165.9,114,28.2,235.9,97,20.05,210.1,120,9.45,12.0,5,3.24,2,0.846388888888889,159.94,False
Arizona,66,510,no,no,0,154.0,133,26.18,198.9,121,16.91,151.9,100,6.84,9.5,3,2.57,4,0.7954545454545455,137.16000000000003,True
Minnesota,65,510,no,yes,29,158.1,104,26.88,322.2,81,27.39,210.0,96,9.45,8.9,6,2.4,1,1.0172307692307694,188.18,False
Colorado,74,415,no,no,0,225.2,93,38.28,215.1,120,18.28,241.8,95,10.88,9.1,2,2.46,2,0.9445945945945945,180.01000000000002,False
Maryland,116,408,no,no,0,159.4,79,27.1,179.5,88,15.26,167.8,71,7.55,9.7,2,2.62,6,0.45284482758620687,134.53,True
Arkansas,68,510,no,no,0,172.7,95,29.36,139.1,90,11.82,174.3,99,7.84,11.7,1,3.16,2,0.7673529411764705,129.98000000000002,False
Tennessee,68,415,no,no,0,222.8,99,37.88,175.8,85,14.94,202.0,111,9.09,11.0,3,2.97,3,0.9541176470588235,163.35999999999999,False
Delaware,54,415,yes,no,0,214.1,77,36.4,240.5,94,20.44,188.9,75,8.5,10.1,3,2.73,1,1.2605555555555557,178.4,False
Tennessee,99,408,no,no,0,54.8,92,9.32,173.0,103,14.71,195.1,125,8.78,7.5,3,2.03,1,0.35191919191919196,94.53,False
Wisconsin,107,408,no,no,0,134.0,104,22.78,174.5,94,14.83,311.1,79,14.0,7.3,3,1.97,3,0.5007476635514019,137.62,False
West Virginia,124,510,no,no,0,184.8,74,31.42,175.1,84,14.88,158.2,95,7.12,10.5,6,2.84,1,0.45370967741935486,144.06999999999996,False
Connecticut,95,415,no,yes,36,283.1,112,48.13,286.2,86,24.33,261.7,129,11.78,11.3,3,3.05,3,0.918842105263158,233.83,False
Minnesota,173,510,no,no,0,291.8,143,49.61,214.3,134,18.22,151.2,119,6.8,9.9,2,2.67,0,0.4468208092485549,198.11,True
Missouri,110,408,no,no,0,222.7,94,37.86,105.8,98,8.99,214.8,78,9.67,13.5,4,3.65,1,0.547,144.7,False
Virginia,102,510,no,no,0,174.5,79,29.67,236.8,136,20.13,270.4,110,12.17,8.5,5,2.3,0,0.6300980392156862,169.57999999999998,False
New Hampshire,130,408,no,no,0,68.4,86,11.63,193.3,110,16.43,171.5,139,7.72,10.4,4,2.81,0,0.29684615384615387,104.58000000000001,False
Oklahoma,91,408,no,yes,31,273.0,78,46.41,215.5,98,18.32,104.7,114,4.71,9.6,2,2.59,1,0.7915384615384614,192.13999999999996,False
Connecticut,64,415,yes,no,0,225.3,134,38.3,108.2,87,9.2,139.6,132,6.28,17.3,9,4.67,1,0.91328125,139.70000000000002,True
Tennessee,176,415,no,yes,23,283.2,130,48.14,162.6,74,13.82,177.7,104,8.0,7.2,6,1.94,1,0.4085227272727273,185.57,False
Maryland,93,510,yes,no,0,131.4,78,22.34,219.7,106,18.67,155.7,103,7.01,11.1,2,3.0,1,0.5486021505376344,135.95999999999998,True
Wisconsin,84,510,no,yes,12,89.7,87,15.25,138.6,73,11.78,165.8,114,7.46,10.7,2,2.89,1,0.445,98.28000000000002,False
South Dakota,138,510,no,no,0,127.1,102,21.61,247.7,106,21.05,207.7,75,9.35,5.0,3,1.35,3,0.38666666666666666,146.01999999999998,False
North Dakota,101,415,no,yes,28,105.9,132,18.0,231.7,107,19.69,281.3,120,12.66,10.7,5,2.89,1,0.527128712871287,147.43999999999997,False
Virginia,136,408,no,no,0,142.3,79,24.19,158.0,113,13.43,177.5,75,7.99,6.0,11,1.62,2,0.3472794117647059,122.67000000000002,False
Utah,111,510,no,no,0,191.3,80,32.52,138.5,94,11.77,246.0,107,11.07,6.4,3,1.73,2,0.5143243243243244,143.35000000000002,False
Massachusetts,132,408,no,yes,36,201.9,93,34.32,156.3,75,13.29,131.3,92,5.91,13.7,5,3.7,0,0.4334848484848485,150.72,False
South Dakota,128,415,no,no,0,247.3,91,42.04,182.7,60,15.53,143.2,112,6.44,14.7,2,3.97,3,0.53109375,170.09,False
Alabama,92,408,no,yes,38,242.2,96,41.17,159.7,144,13.57,210.0,108,9.45,8.9,1,2.4,1,0.723804347826087,174.86999999999998,False
Alabama,197,415,yes,no,0,127.3,80,21.64,222.3,115,18.9,173.9,95,7.83,13.7,5,3.7,5,0.26431472081218277,136.24,True
West Virginia,191,408,no,no,0,162.0,104,27.54,241.2,120,20.5,210.4,83,9.47,10.9,7,2.94,1,0.3164921465968586,160.07999999999998,False
South Carolina,99,415,no,yes,33,179.1,93,30.45,238.3,102,20.26,165.7,96,7.46,10.6,1,2.86,2,0.6164646464646465,167.82,False
Florida,106,415,no,yes,31,197.4,125,33.56,123.4,110,10.49,115.6,101,5.2,12.3,4,3.32,3,0.49594339622641515,135.3,False
Kentucky,88,415,no,no,0,148.2,82,25.19,308.7,67,26.24,235.4,79,10.59,6.4,4,1.73,2,0.7244318181818181,176.10999999999999,False
Utah,78,415,no,no,0,193.1,85,32.83,172.1,105,14.63,129.6,119,5.83,10.2,1,2.75,0,0.7184615384615385,143.87,False
New York,98,408,no,no,0,171.7,99,29.19,174.8,87,14.86,189.6,130,8.53,7.8,6,2.11,1,0.5580612244897959,141.34,False
Mississippi,17,408,no,yes,35,198.5,123,33.75,270.6,74,23.0,209.9,130,9.45,8.1,10,2.19,1,4.022941176470589,189.89000000000001,False
New Hampshire,56,415,no,yes,24,121.7,87,20.69,184.0,76,15.64,266.6,98,12.0,12.7,3,3.43,1,0.9242857142857143,137.57999999999998,False
Virginia,84,415,no,no,0,130.2,105,22.13,278.0,60,23.63,305.4,74,13.74,14.0,6,3.78,2,0.7533333333333333,168.22,False
Vermont,95,510,no,no,0,203.4,96,34.58,168.6,61,14.33,173.0,105,7.79,13.7,3,3.7,2,0.6357894736842105,151.38000000000002,False
Wyoming,16,415,no,no,0,174.7,83,29.7,280.8,122,23.87,171.7,80,7.73,10.5,8,2.84,5,4.00875,171.89,False
Nevada,76,510,yes,no,0,241.0,120,40.97,231.8,96,19.7,220.2,67,9.91,9.9,1,2.67,1,0.9638157894736842,189.64,True
West Virginia,93,415,no,no,0,141.7,95,24.09,221.0,100,18.79,227.1,71,10.22,10.2,3,2.75,0,0.6005376344086021,147.73,False
Washington,83,408,no,no,0,134.8,96,22.92,167.2,78,14.21,161.5,123,7.27,7.7,5,2.08,2,0.56,121.17000000000003,False
Kansas,123,415,no,no,0,163.1,119,27.73,249.4,51,21.2,168.2,77,7.57,9.0,10,2.43,1,0.4791056910569106,158.38,False
Vermont,64,408,no,no,0,145.5,116,24.74,228.4,110,19.41,273.4,91,12.3,8.9,8,2.4,1,0.91953125,155.54,False
Oklahoma,82,510,no,no,0,329.8,73,56.07,208.3,120,17.71,267.1,102,12.02,10.6,6,2.86,0,1.0812195121951218,223.24000000000004,True
Georgia,107,510,no,no,0,194.5,97,33.07,186.3,131,15.84,178.3,106,8.02,12.7,1,3.43,2,0.5641121495327102,153.46,False
Colorado,110,510,no,no,0,131.9,93,22.42,272.7,106,23.18,192.8,105,8.68,7.1,4,1.92,1,0.510909090909091,154.96999999999997,False
Alaska,96,408,no,yes,29,150.0,91,25.5,159.4,75,13.55,228.1,55,10.26,8.5,3,2.3,1,0.5376041666666665,137.82999999999998,False
Tennessee,47,415,no,yes,30,196.6,93,33.42,241.4,140,20.52,226.0,118,10.17,12.9,4,3.48,2,1.4380851063829787,181.64000000000001,False
Kentucky,115,510,no,no,0,99.7,107,16.95,145.1,96,12.33,149.4,99,6.72,14.1,4,3.81,2,0.3461739130434783,100.57,False
Pennsylvania,69,415,no,no,0,143.6,88,24.41,141.8,86,12.05,194.0,83,8.73,10.8,5,2.92,3,0.6972463768115942,120.63999999999999,False
Connecticut,163,408,no,yes,40,231.9,56,39.42,211.8,91,18.0,268.5,74,12.08,12.3,3,3.32,2,0.4467484662576687,193.01000000000002,False
Connecticut,90,415,no,no,0,37.8,80,6.43,155.3,105,13.2,175.0,111,7.88,14.2,5,3.83,3,0.34822222222222216,81.15,False
Minnesota,98,415,no,no,0,72.8,107,12.38,186.4,103,15.84,175.3,110,7.89,10.5,4,2.84,3,0.3974489795918368,103.77,False
Wyoming,90,408,no,yes,39,94.8,89,16.12,219.1,91,18.62,197.4,65,8.88,11.4,5,3.08,1,0.518888888888889,133.17,False
Pennsylvania,174,415,no,yes,15,221.8,143,37.71,210.6,115,17.9,221.8,109,9.98,12.4,9,3.35,1,0.39620689655172414,179.26,False
Oregon,95,415,no,no,0,269.0,120,45.73,233.7,120,19.86,179.3,61,8.07,7.3,4,1.97,2,0.7961052631578946,196.50000000000003,True
Pennsylvania,79,415,no,no,0,268.3,114,45.61,185.5,111,15.77,264.6,88,11.91,6.3,7,1.7,1,0.9492405063291138,190.39,True
Oklahoma,123,415,no,yes,27,198.7,127,33.78,249.0,105,21.17,173.2,124,7.79,12.5,5,3.38,1,0.5375609756097561,179.1,False
Vermont,99,415,no,no,0,115.5,75,19.64,218.1,111,18.54,254.9,98,11.47,11.5,7,3.11,7,0.5329292929292929,137.32000000000002,True
Idaho,114,415,no,no,0,202.1,100,34.36,195.7,102,16.63,291.8,120,13.13,13.3,5,3.59,2,0.5939473684210526,170.79000000000002,False
Pennsylvania,141,510,no,no,0,215.6,113,36.65,200.6,81,17.05,153.8,107,6.92,12.4,6,3.35,1,0.4536879432624114,163.98,False
New Mexico,132,408,no,no,0,169.9,107,28.88,209.4,121,17.8,206.1,79,9.27,11.5,2,3.11,1,0.44742424242424245,153.39,False
Florida,133,510,no,no,0,201.7,85,34.29,169.4,116,14.4,286.3,80,12.88,6.0,4,1.62,0,0.4751127819548872,161.32999999999998,False
Texas,133,408,no,no,0,221.1,133,37.59,160.2,140,13.62,161.8,84,7.28,8.4,3,2.27,4,0.45684210526315794,153.16000000000003,False
Vermont,93,510,no,yes,32,218.7,117,37.18,115.0,61,9.78,192.7,85,8.67,9.4,5,2.54,2,0.6254838709677419,148.93,False
Massachusetts,34,415,no,no,0,293.7,89,49.93,272.5,71,23.16,178.2,76,8.02,11.0,10,2.97,2,2.472941176470588,218.65,True
Oregon,140,415,no,no,0,120.3,108,20.45,240.4,84,20.43,216.4,74,9.74,7.7,3,2.08,4,0.3764285714285714,142.22,True
Delaware,96,415,no,yes,26,175.8,96,29.89,206.6,84,17.56,178.0,105,8.01,11.1,2,3.0,2,0.6089583333333334,156.92000000000002,False
Florida,144,510,no,no,0,278.5,95,47.35,240.7,90,20.46,120.0,90,5.4,11.6,5,3.13,1,0.5301388888888889,197.63,True
Idaho,24,408,no,yes,29,236.3,105,40.17,190.8,114,16.22,129.0,105,5.81,7.2,2,1.94,3,2.6725,171.00000000000003,False
Maryland,54,415,no,no,0,273.8,113,46.55,119.6,156,10.17,267.6,117,12.04,11.7,3,3.16,1,1.3318518518518516,174.20000000000002,False
West Virginia,50,408,no,no,0,131.1,129,22.29,160.5,94,13.64,206.9,88,9.31,5.6,9,1.51,5,0.935,120.9,True
Idaho,92,415,no,yes,23,167.4,83,28.46,258.6,129,21.98,116.4,110,5.24,11.2,3,3.02,4,0.6380434782608696,161.82000000000002,False
Nevada,96,408,no,no,0,197.7,68,33.61,250.5,53,21.29,181.2,67,8.15,10.5,3,2.84,3,0.6863541666666667,173.54999999999998,False
Ohio,146,415,no,no,0,169.5,93,28.82,230.9,71,19.63,269.8,115,12.14,9.0,7,2.43,2,0.4316438356164384,165.25000000000003,False
Idaho,138,415,yes,yes,17,225.2,116,38.28,173.4,88,14.74,145.8,99,6.56,11.7,4,3.16,0,0.4546376811594204,162.42000000000002,False
South Carolina,102,408,no,no,0,174.5,73,29.67,213.7,114,18.16,164.7,116,7.41,10.3,5,2.78,4,0.5688235294117646,151.24,False
Missouri,76,510,no,no,0,129.7,84,22.05,177.5,80,15.09,228.9,87,10.3,7.5,3,2.03,5,0.650921052631579,128.01999999999998,True
Nebraska,99,415,no,no,0,200.0,66,34.0,107.9,104,9.17,233.7,82,10.52,11.4,2,3.08,3,0.5734343434343434,137.12,False
North Carolina,83,510,no,yes,36,95.9,87,16.3,261.6,105,22.24,228.6,109,10.29,13.3,4,3.59,0,0.6315662650602409,149.55999999999997,False
Maine,36,510,no,yes,25,152.8,110,25.98,242.8,67,20.64,147.4,74,6.63,9.1,2,2.46,1,1.5475000000000003,155.22,False
Michigan,70,510,no,no,0,129.9,102,22.08,208.7,133,17.74,231.4,93,10.41,14.3,3,3.86,1,0.7727142857142856,140.26999999999998,False
Arizona,109,415,yes,no,0,268.4,85,45.63,150.6,131,12.8,297.9,84,13.41,9.7,8,2.62,2,0.6831192660550459,183.67,True
Arizona,100,415,no,no,0,188.5,152,32.05,148.3,115,12.61,179.8,88,8.09,15.2,5,4.1,2,0.5685,140.31,False
Hawaii,104,408,no,no,0,170.6,97,29.0,162.1,111,13.78,210.7,131,9.48,6.1,1,1.65,1,0.5183653846153846,138.85999999999999,False
New Jersey,106,415,no,no,0,191.4,124,32.54,200.7,116,17.06,230.1,76,10.35,8.2,3,2.21,1,0.5864150943396226,161.11999999999995,False
Mississippi,84,510,no,no,0,75.3,96,12.8,179.9,113,15.29,193.8,134,8.72,12.3,1,3.32,1,0.4777380952380953,105.63,False
Massachusetts,80,510,no,no,0,149.8,123,25.47,276.3,75,23.49,241.4,75,10.86,10.9,7,2.94,2,0.7844999999999999,168.53,False
South Carolina,100,510,no,no,0,115.9,87,19.7,111.3,56,9.46,170.2,77,7.66,7.1,4,1.92,1,0.3874,97.89,False
Minnesota,99,408,no,no,0,128.8,86,21.9,203.9,105,17.33,282.6,131,12.72,14.1,4,3.81,2,0.5632323232323232,143.17000000000002,False
West Virginia,50,510,no,no,0,131.7,108,22.39,216.5,103,18.4,196.1,126,8.82,11.0,5,2.97,1,1.0515999999999999,139.14,False
Mississippi,105,415,no,no,0,101.4,48,17.24,159.1,119,13.52,259.2,53,11.66,12.2,2,3.29,1,0.43533333333333335,116.35,False
Virginia,113,415,no,yes,23,149.0,104,25.33,235.8,67,20.04,201.8,76,9.08,9.5,5,2.57,4,0.5046017699115044,155.82000000000002,False
Mississippi,111,415,no,yes,36,96.8,123,16.46,170.6,105,14.5,166.0,85,7.47,13.4,4,3.62,2,0.3788288288288288,115.78000000000002,False
New Mexico,161,408,no,no,0,107.5,121,18.28,256.4,46,21.79,247.2,131,11.12,12.6,3,3.4,2,0.3390683229813664,146.56,False
Texas,70,415,no,no,0,232.8,95,39.58,303.4,111,25.79,255.6,104,11.5,12.9,7,3.48,0,1.147857142857143,212.28,True
Hawaii,97,415,no,yes,43,121.1,105,20.59,260.2,115,22.12,222.4,100,10.01,8.3,5,2.24,3,0.5665979381443299,158.09999999999997,False
Washington,130,510,no,no,0,124.3,70,21.13,270.7,99,23.01,239.5,83,10.78,3.5,6,0.95,0,0.4297692307692308,155.57999999999998,False
Wisconsin,92,415,no,no,0,157.7,101,26.81,298.6,100,25.38,216.9,99,9.76,13.8,3,3.73,1,0.7139130434782608,176.80999999999997,False
Colorado,119,408,no,no,0,124.3,68,21.13,207.1,88,17.6,157.4,93,7.08,14.8,1,4.0,0,0.4185714285714286,130.55,False
Nevada,115,415,no,no,0,286.4,125,48.69,205.7,74,17.48,191.4,141,8.61,6.9,6,1.86,1,0.6664347826086957,196.48999999999995,True
Rhode Island,134,415,no,no,0,141.7,95,24.09,205.6,101,17.48,218.5,60,9.83,8.8,6,2.38,0,0.40134328358208954,141.96999999999997,False
Virginia,127,408,no,yes,25,173.0,91,29.41,245.8,64,20.89,300.0,99,13.5,4.8,3,1.3,0,0.5125984251968504,178.9,False
New Jersey,80,415,no,no,0,268.7,120,45.68,301.0,147,25.59,167.0,140,7.52,5.8,1,1.57,2,1.0044999999999997,215.04,True
North Dakota,153,415,no,yes,31,218.5,130,37.15,134.2,103,11.41,118.9,105,5.35,9.4,6,2.54,0,0.3689542483660131,147.63,False
Minnesota,85,415,no,no,0,255.3,114,43.4,194.6,83,16.54,276.6,78,12.45,3.7,5,1.0,3,0.8634117647058823,188.0,False
Hawaii,79,415,no,no,0,41.9,124,7.12,211.0,95,17.94,237.9,55,10.71,11.4,5,3.08,1,0.4917721518987342,105.83000000000001,False
North Dakota,35,415,no,no,0,260.8,87,44.34,258.1,78,21.94,131.3,123,5.91,5.8,2,1.57,1,2.107428571428571,195.73999999999998,False
Wisconsin,120,408,no,yes,26,239.4,94,40.7,259.4,88,22.05,238.0,132,10.71,7.7,3,2.08,0,0.6295000000000001,204.11999999999998,False
Minnesota,68,510,no,no,0,226.7,94,38.54,168.4,129,14.31,188.7,117,8.49,10.2,1,2.75,0,0.9425,162.11,False
,60,408,no,no,0,179.3,147,30.48,208.9,89,17.76,248.2,98,11.17,13.5,6,3.65,1,1.051,161.60999999999999,True
Kansas,120,510,no,no,0,158.0,110,26.86,197.0,103,16.75,154.9,132,6.97,10.0,5,2.7,1,0.444,139.48999999999998,False
Montana,71,510,no,yes,23,175.7,82,29.87,258.9,136,22.01,268.4,154,12.08,14.1,7,3.81,1,0.9545070422535211,181.90999999999997,False
West Virginia,124,415,no,no,0,157.4,107,26.76,167.8,112,14.26,188.8,102,8.5,8.8,3,2.38,3,0.4185483870967742,133.04,False
Maine,23,510,no,no,0,113.1,74,19.23,168.8,95,14.35,262.9,126,11.83,6.9,2,1.86,1,2.0552173913043474,123.24999999999999,True
Wyoming,225,415,no,no,0,182.7,142,31.06,246.5,63,20.95,218.0,103,9.81,8.8,2,2.38,1,0.2853333333333333,170.29,False
New York,181,415,yes,no,0,161.3,83,27.42,124.4,83,10.57,262.0,98,11.79,14.1,3,3.81,0,0.2960773480662984,130.86,True
Vermont,63,415,no,no,0,142.5,92,24.23,208.3,102,17.71,228.9,120,10.3,7.5,2,2.03,2,0.8614285714285713,143.28,False
North Carolina,54,415,yes,no,0,190.5,108,32.39,259.7,108,22.07,141.5,111,6.37,9.7,2,2.62,2,1.1749999999999998,169.60000000000002,True
Missouri,80,408,yes,yes,15,159.3,110,27.08,170.6,120,14.5,141.2,82,6.35,11.9,5,3.21,1,0.63925,134.1,False
North Carolina,118,408,yes,yes,39,153.8,106,26.15,123.3,111,10.48,117.8,103,5.3,9.2,6,2.48,1,0.37635593220338975,119.63000000000001,False
New Jersey,42,408,yes,no,0,180.7,127,30.72,174.6,94,14.84,165.3,114,7.44,12.0,6,3.24,2,1.339047619047619,142.99,False
Ohio,134,408,no,no,0,202.7,105,34.46,224.9,90,19.12,253.9,108,11.43,12.1,7,3.27,0,0.50955223880597,176.35999999999999,False
Texas,66,415,no,yes,35,190.8,100,32.44,261.3,93,22.21,209.5,108,9.43,8.9,6,2.4,0,1.0072727272727273,184.44000000000003,False
Washington,66,415,no,no,0,205.1,102,34.87,232.7,109,19.78,259.9,95,11.7,9.2,6,2.48,2,1.042878787878788,179.08,False
Tennessee,127,415,no,yes,28,235.6,124,40.05,236.8,113,20.13,241.2,127,10.85,7.7,2,2.08,1,0.5756692913385826,196.24,False
Hawaii,146,510,no,no,0,189.3,77,32.18,155.9,128,13.25,186.0,83,8.37,7.4,3,2.0,0,0.3821917808219178,142.57,False
Wyoming,93,408,no,yes,42,166.9,101,28.37,273.2,84,23.22,171.0,106,7.69,11.5,1,3.11,1,0.6708602150537635,176.22,False
Connecticut,77,415,no,no,0,245.2,87,41.68,254.1,83,21.6,239.4,91,10.77,7.5,4,2.03,0,0.9880519480519481,199.75,True
New Mexico,111,415,no,no,0,132.6,125,22.54,221.1,67,18.79,127.9,101,5.76,12.7,2,3.43,4,0.4551351351351351,133.5,True
New Jersey,125,415,no,no,0,182.3,64,30.99,139.8,121,11.88,171.6,96,7.72,11.6,7,3.13,2,0.42976,133.74,False
Alabama,115,510,no,yes,14,192.3,86,32.69,88.7,90,7.54,229.4,120,10.32,10.5,3,2.84,2,0.4642608695652174,130.77000000000004,False
Minnesota,115,510,yes,no,0,122.0,110,20.74,220.2,100,18.72,179.7,124,8.09,10.8,2,2.92,2,0.4388695652173913,134.39,True
North Carolina,114,408,no,no,0,193.0,101,32.81,250.0,81,21.25,133.3,79,6.0,9.6,2,2.59,2,0.549561403508772,166.85,False
Ohio,106,415,no,no,0,158.6,112,26.96,220.0,114,18.7,252.9,106,11.38,9.1,3,2.46,0,0.5613207547169812,156.54999999999998,False
North Dakota,118,415,no,yes,39,91.5,125,15.56,219.9,113,18.69,229.0,99,10.31,12.7,8,3.43,2,0.4066949152542373,135.21,False
Colorado,59,510,no,no,0,153.6,92,26.11,205.5,88,17.47,114.5,89,5.15,12.5,10,3.38,1,0.8832203389830509,136.73999999999998,False
North Dakota,87,415,yes,yes,40,221.6,79,37.67,157.1,74,13.35,222.4,124,10.01,11.5,3,3.11,1,0.7372413793103448,168.01,False
New York,21,415,no,no,0,244.7,81,41.6,168.0,117,14.28,281.5,87,12.67,6.6,1,1.78,1,3.349047619047619,177.45,False
Wisconsin,142,408,no,yes,24,239.8,103,40.77,285.9,65,24.3,256.7,106,11.55,9.5,4,2.57,0,0.5576760563380282,214.06000000000003,False
Wyoming,62,415,no,no,0,172.4,132,29.31,230.5,100,19.59,228.2,109,10.27,11.0,5,2.97,0,1.002258064516129,163.13,False
Oregon,149,415,no,no,0,242.5,83,41.23,245.4,97,20.86,219.6,80,9.88,10.0,3,2.7,3,0.5011409395973154,193.68,True
Colorado,54,510,no,yes,39,117.6,82,19.99,159.2,60,13.53,236.4,113,10.64,11.3,10,3.05,2,0.8742592592592592,127.9,False
Louisiana,112,510,no,no,0,174.5,127,29.67,259.3,71,22.04,170.5,120,7.67,11.3,7,3.05,1,0.5574107142857143,166.6,False
Alabama,68,510,no,no,0,157.3,83,26.74,220.9,85,18.78,218.9,129,9.85,12.0,7,3.24,1,0.8619117647058824,153.17999999999998,False
Texas,201,415,no,yes,21,192.0,97,32.64,239.1,81,20.32,116.1,125,5.22,15.1,3,4.08,1,0.30975124378109453,167.05999999999997,False
Pennsylvania,88,510,no,no,0,218.2,76,37.09,169.3,60,14.39,141.1,99,6.35,8.0,1,2.16,1,0.6817045454545455,153.48,False
Illinois,85,415,no,yes,29,144.6,97,24.58,140.0,102,11.9,165.4,148,7.44,10.9,3,2.94,1,0.5512941176470587,124.06000000000002,False
Delaware,51,415,yes,no,0,153.6,108,26.11,232.9,85,19.8,214.2,92,9.64,14.1,4,3.81,0,1.1639215686274509,155.55,True
Missouri,45,510,no,yes,29,135.8,104,23.09,222.5,101,18.91,235.6,92,10.6,7.9,6,2.13,2,1.2162222222222223,151.41000000000003,False
Arkansas,116,510,no,no,0,160.7,69,27.32,146.8,106,12.48,287.8,144,12.95,8.2,5,2.21,0,0.47379310344827585,138.73999999999998,False
Ohio,146,408,no,yes,31,202.5,91,34.43,241.4,108,20.52,169.6,77,7.63,7.8,2,2.11,1,0.443082191780822,177.84,False
Wisconsin,63,510,no,yes,34,152.2,119,25.87,227.1,91,19.3,195.7,103,8.81,12.3,5,3.32,1,0.9095238095238096,157.54,False
Georgia,133,510,no,no,0,227.4,90,38.66,73.2,135,6.22,114.3,99,5.14,4.7,7,1.27,0,0.3856390977443609,125.29000000000002,False
Kentucky,125,408,no,no,0,191.6,115,32.57,205.6,108,17.48,210.2,123,9.46,9.2,3,2.48,2,0.49591999999999997,160.58,False
Ohio,72,510,no,no,0,138.9,111,23.61,211.6,102,17.99,179.5,91,8.08,10.8,3,2.92,1,0.7305555555555555,138.84999999999997,False
Tennessee,130,408,no,no,0,127.0,102,21.59,206.9,107,17.59,231.7,99,10.43,6.1,6,1.65,0,0.3943076923076923,137.26000000000002,False
